Key Values,LineNumber,SourceName,M_NB,M_QTY_INDEX,M_TP_BUY,CURRENCY,INSTRUMENT,TRN_STATUS,TRN_FMLY,TRN_GRP,TRN_TYPE,PORTFOLIO,M_PL_CGR2,M_PL_CGRA2,M_PL_CGU2,M_PL_CGUA2,M_PL_CSFCP2,M_PL_CSFI2,M_PL_CSFR2,M_PL_CSFRV2,M_PL_CSNF2,M_PL_CSNFCP2,M_PL_CSNFR2,M_PL_CSNFRV2,M_PL_FE2,M_PL_FEFI2,M_PL_FMV2,M_PL_FMVCL2,M_PL_FPFCP2,M_PL_FPFRV2,M_PL_FPNFCP2,M_PL_FPNFRV2,M_PL_FTFI2,M_PL_INSCUR,M_PL_KEY1,M_PL_MVFCP2,M_PL_MVFRV2,M_PL_MVNFCP2,M_PL_MVNFRV2,M_PL_NFMV2,M_PL_NFMVCL2,M_PL_RVR2,M_PL_RVRA2,M_PL_RVU2,M_PL_RVUA2,M_PLIRDACC12,M_PLIRDACC22,M_PLIRDACS12,M_PLIRDACS22,M_PLIRDCUR1,M_PLIRDCUR2,M_PLIRDFPV12,M_PLIRDFPV22,M_RSKSECTION,M_TP_TYPE
66876657,36,MX 3.1,66876657,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,523589.3885,523589.3885,0,0,0,0,0,0,0,0,0,0,523309.7831,0,0,0,0,0,-279.60531,CN1,30spaces,523309.7831,0,523589.3885,0,523589.3885,0,0,0,0,0,-364191.78,429584.83,-364191.78,429584.83,CN1,CN1,-6130455.55,6653765.34,20spaces,11spaces
66876379,4,MX 2.1,66876379,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,921857.4768,921857.4768,0,0,0,0,0,0,0,0,-1606,-5.324716,921365.1898,921365.1898,0,0,0,0,-492.286992,CN1,30spaces,921365.1898,0,921857.4768,0,921857.4768,921857.4768,0,0,0,0,-945793.97,1142695.65,-945793.97,1142695.65,CN1,CN1,-6061737.76,6983102.95,20spaces,11spaces
66876379,4,MX 3.1,66876379,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD BL,0,0,921857.4768,921857.4768,0,0,0,0,0,0,0,0,0,0,921365.1898,0,0,0,0,0,-492.286992,CN1,30spaces,921365.1898,0,921857.4768,0,921857.4768,0,0,0,0,0,-945793.97,1142695.65,-945793.97,1142695.65,CN1,CN1,-6061737.76,6983102.95,20spaces,11spaces
67190586,59,MX 2.1,67190586,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD NH,0,0,198879.1365,198879.1365,0,0,0,0,0,0,0,0,-1264.4,-3.443647,198772.9317,198772.9317,0,0,0,0,-106.204716,CN1,30spaces,198772.9317,0,198879.1365,0,198879.1365,198879.1365,0,0,0,0,-26158.9,35877.32,-26158.9,35877.32,CN1,CN1,-1413714.1,1612487.04,20spaces,11spaces
67190586,59,MX 3.1,67190586,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD NH,0,0,198879.1365,198879.1365,0,0,0,0,0,0,0,0,-1154.4,-3.165941,198772.9317,0,0,0,0,0,-106.204716,CN1,30spaces,198772.9317,0,198879.1365,0,198879.1365,0,0,0,0,0,-26158.9,35877.32,-26158.9,35877.32,CN1,CN1,-1413714.1,1612487.04,20spaces,11spaces
66876531,43,MX 2.1,66876531,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,187271.3586,187271.3586,0,0,0,0,0,0,0,0,-310,-1.027809,187171.3526,187171.3526,0,0,0,0,-100.005973,CN1,30spaces,187171.3526,0,187271.3586,0,187271.3586,187271.3586,0,0,0,0,-178356.16,214792.42,-178356.16,214792.42,CN1,CN1,-1522055.08,1709226.43,20spaces,11spaces
66876531,43,MX 3.1,66876531,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,187271.3586,187271.3586,0,0,0,0,0,0,0,0,0,0,187171.3526,0,0,0,0,0,-100.005973,CN1,30spaces,187171.3526,0,187271.3586,0,187271.3586,0,0,0,0,0,-178356.16,214792.42,-178356.16,214792.42,CN1,CN1,-1522055.08,1709226.43,20spaces,11spaces
66876651,35,MX 2.1,66876651,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD KT,0,0,354892.8035,354892.8035,0,0,0,0,0,0,0,0,-610,-2.022464,354703.2849,354703.2849,0,0,0,0,-189.51857,CN1,30spaces,354703.2849,0,354892.8035,0,354892.8035,354892.8035,0,0,0,0,-359013.7,429584.83,-359013.7,429584.83,CN1,CN1,-3063749.57,3418452.86,20spaces,11spaces
66876651,35,MX 3.1,66876651,0,B,CN1,CN1 7DREPO 3M N,MKT_OP,IRD,IRS,   ,DCNSH IRD KT,0,0,354892.8035,354892.8035,0,0,0,0,0,0,0,0,0,0,354703.2849,0,0,0,0,0,-189.51857,CN1,30spaces,354703.2849,0,354892.8035,0,354892.8035,0,0,0,0,0,-359013.7,429584.83,-359013.7,429584.83,CN1,CN1,-3063749.57,3418452.86,20spaces,11spaces
66876375,3,MX 2.1,66876375,0,B,CN1,CN1 7DREPO 3M N,LIVE,IRD,IRS,   ,DCNSH IRD BL,0,0,-374542.7172,-374542.7172,0,0,0,0,0,0,0,0,-3110,-10.485715,-374342.7053,-374342.7053,0,0,0,0,200.011946,CN1,30spaces,-374342.7053,0,-374542.7172,0,-374542.7172,-374542.7172,0,0,0,0,356712.33,-429584.83,356712.33,-429584.83,CN1,CN1,3044110.15,-3418452.86,20spaces,11spaces
